Item_Weight,Item_Visibility,Item_MRP,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
9.3,0.9229596700085654,249.8092,3735.138,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
5.92,1.0030565792305357,48.2692,443.4228,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17.5,0.8319896179620336,141.618,2097.27,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
19.2,0.75,182.095,732.38,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8.93,0.6666666666666667,53.8614,994.7052,26,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
10.395,0.75,51.4008,556.6088,4,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
13.65,0.9582063856971152,57.6588,343.5528,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
19.0,0.9946778305578745,107.7622,4022.7636,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
16.2,0.90399742766201,96.9726,1076.5986,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
19.2,0.8736089527619524,187.8214,4710.535,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
11.8,0.6363636363636364,45.5402,1516.0266,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
18.5,0.9070814723108068,144.1102,2187.153,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15.1,0.9069378583734613,145.4786,1589.2646,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
17.6,0.8677308071633344,119.6782,2145.2076,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16.35,0.971010996517429,196.4426,1977.4260000000002,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9.0,0.9075715792183814,56.3614,1547.3192,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11.8,1.0030881886774816,115.3492,1621.8888,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
9.0,0.9089826121789399,54.3614,718.3982,14,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8.26,0.8266123043984331,113.2834,2303.6679999999997,28,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13.35,0.9019971960754412,230.5352,2748.4224,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
18.85,0.9964460714177477,250.8724,3775.086,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
8.315,0.9073565158740481,144.5444,4064.0432,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
14.6,0.8308792770612929,196.5084,1587.2672,9,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
15.5,1.4001017843082437,107.6938,214.3876,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13.85,0.9977857938893345,165.021,4078.025,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
13.0,1.0035584629112677,45.906000000000006,838.908,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7.645,0.9505941754344647,42.3112,1065.28,9,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
11.65,0.9052296673089568,39.1164,308.9312,26,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5.925,1.390779585451742,45.5086,178.4344,15,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14.5,1.4776096249780217,43.6454,125.8362,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19.25,1.4440173570865156,55.7956,163.7868,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.6,1.0029482739188142,96.4436,2741.7644,4,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
18.7,0.8571428571428571,256.6672,3068.0064,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
17.85,0.8750000000000001,93.1436,2174.5028,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
17.5,0.8690040989458367,174.8738,2085.2856,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10.0,0.8494155173620084,146.7102,3791.0652,14,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
20.2,0.8400182466211475,128.0678,2797.6916,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
8.85,1.002797010324002,122.5388,1609.9044,4,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6.385000000000001,0.9944509267341657,36.9874,388.1614,28,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.25,0.9067994382722704,87.6198,2180.495,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
13.35,0.9021677878599483,230.6352,3435.528,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9.8,0.886395893739413,126.00200000000001,2150.534,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
13.6,1.0009916175079745,192.9136,2527.3768,14,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
21.35,0.9029432247464673,259.9278,6768.5228,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
12.15,0.9965636795510627,126.5046,373.5138,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6.42,1.475034508970051,178.1002,358.2004,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.6,0.7999999999999999,153.3024,2428.8384,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
10.0,1.001589882218445,265.2226,5815.0972,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
15.85,0.8703209432274566,60.622,2576.646,16,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10.195,1.533242889742129,196.8794,780.3176,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7.39,0.9976204487568417,143.8812,3134.5864,16,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
10.195,1.124531708576035,141.5154,850.8924,26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9.895,0.9975729965176114,117.0492,810.9444,26,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
10.895,0.8855960961324091,196.3794,3121.2704,6,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
12.15,1.0044681048166684,151.4708,4815.0656,6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7.905,0.9151200106675108,249.0408,6258.52,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
9.195,0.9135444048667141,106.1622,2117.244,11,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8.365,0.84977679669688,38.0506,796.9626,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15.1,0.9477562226443158,194.511,4910.275,16,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5.94,1.5795664691579507,180.0344,892.172,28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10.0,0.7142857142857143,246.9144,3185.1872,4,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7.97,0.7997977402469445,87.3514,1062.6168,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6.215,0.9948602766106077,38.2848,484.7024,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15.5,1.4132152321083333,51.0692,147.8076,28,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17.5,1.0218594366389009,255.8356,2543.356,28,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
17.7,1.526559956581351,185.4266,184.4266,15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.35,0.9025033636908053,172.5738,4865.6664,9,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
13.65,0.8926191098281785,186.024,1118.5439999999999,11,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
